bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area,Orthogonal_Lines,Mean_Intensity,Bug_to_Total_Ratio,Min_R_bug,Min_G_bug,Min_B_bug,Max_R_bug,Max_G_bug,Max_B_bug,Mean_R_bug,Mean_G_bug,Mean_B_bug
Bee,Megachile centuncularis,129.9670625,102.0,88.0,121.0,56.37440616227443,53.2781514857209,54.725906926775984,476392.0,1.0006650183264656,2.13048075,0.019849666666666668,4.0,4.0,10.0,255.0,250.0,255.0,104.86522653612991,95.00974827453022,122.11744739626191
Bee,Megachile centuncularis,148.0506675,134.0,108.0,135.0,58.27640689596081,50.473062935294045,52.81239303662652,526472.0,1.0,2.7030405833333333,0.021936333333333332,2.0,2.0,5.0,255.0,248.0,247.0,131.83512703429622,108.5601475482077,129.2709602789892
Bee,Megachile centuncularis,126.92721175,102.0,98.0,110.0,51.52171639800505,47.876805016659745,47.0522351241095,489408.0,1.0,2.12383475,0.020392,6.0,0.0,7.0,255.0,240.0,245.0,105.92190564927422,97.11783828625605,109.41142564077415
Bee,Megachile centuncularis,136.01977933333333,98.0,102.0,118.0,46.932319689678714,46.84213427150966,48.61106263466439,395580.0,1.0001862297891169,1.8417368333333333,0.0164825,1.0,0.0,19.0,241.0,234.0,255.0,105.59176146417919,105.12211436371909,124.50289953991607
Bee,Megachile centuncularis,77.63909425,70.0,91.0,104.0,53.713062475385456,55.87585840050526,55.12735174472994,282978.0,1.0,1.161413888888889,0.01179075,0.0,0.0,7.0,238.0,240.0,234.0,84.50671783672229,99.25816494568483,111.74148166995315
Bee,Megachile centuncularis,105.16270525,22.0,38.0,67.0,31.981206024476805,38.23780394746258,40.42840314215426,322832.0,1.0011700740840086,0.6879139444444444,0.013451333333333333,0.0,0.0,4.0,170.0,191.0,220.0,33.5946963126332,47.837197056053924,71.99095195024037
Bee,Anthidium manicatum,79.856265,47.0,67.0,80.0,43.96355958428496,50.861393091630596,54.07594998992329,204668.0,1.0005114759326437,0.6519789583333333,0.008527833333333333,0.0,0.0,0.0,255.0,255.0,255.0,59.92730177653566,76.86732659722087,92.5645533253855
Bee,Anthidium manicatum,90.73452266666666,49.0,69.0,83.0,45.393121489540775,52.266303911624995,54.85508320700254,188792.0,1.0014297847604166,0.6215634583333334,0.007866333333333333,0.0,0.0,0.0,255.0,255.0,255.0,62.76728886817238,79.68334463324717,94.59632293741261
Bee,Anthidium manicatum,115.15989358333333,39.0,54.0,68.0,43.68838297699246,43.82406329659537,49.492277298652276,249688.0,1.0,0.6500986944444445,0.010403666666666667,0.0,1.0,3.0,255.0,255.0,255.0,52.16240668354106,60.47057527794688,74.82939508506617
Bee,Anthidium manicatum,116.71209575,43.0,60.0,74.0,54.71550666705779,51.72035802733731,57.53349456180406,275316.0,1.0012290233421537,0.8212449444444444,0.0114715,0.0,0.0,3.0,255.0,255.0,255.0,62.41357930523471,68.2764568713769,84.08003167269611
Bee,Anthidium manicatum (+Apis mellifera),85.53838616666667,57.0,78.0,104.0,46.31843397196164,51.04521187023054,54.976860601759675,191108.0,1.0,0.6943756805555555,0.007962833333333334,0.0,6.0,6.0,255.0,255.0,255.0,68.8714130230027,85.07537099441154,107.65947527052766
Bee,Anthidium manicatum,149.60610983333333,58.0,47.0,70.0,46.39927561160914,34.121382985155314,49.46692969852156,407924.0,1.0,1.1229361527777777,0.016996833333333333,3.0,3.0,4.0,240.0,193.0,211.0,69.63907247428442,52.755802551455666,75.80724840901736
Bee,Anthidium manicatum,120.081477,42.0,33.0,49.0,32.39865906228686,31.240178397949144,40.585846454518745,481308.0,1.0015071616533653,0.9951119444444444,0.0200545,0.0,0.0,3.0,208.0,182.0,193.0,49.027884431590586,40.5533088999144,59.279951714910204
Bee,Anthidium manicatum,124.1587545,41.0,33.0,46.0,54.73154000982221,58.797617514820644,65.25463976449186,316436.0,1.0005195990315612,0.8393779583333333,0.013184833333333333,0.0,0.0,0.0,255.0,255.0,255.0,59.9767662339304,57.99138530382131,73.0190085830942
Bee,Anthidium manicatum,139.15758866666667,49.0,41.0,69.0,35.771817409098865,35.279417147948664,44.36605732289715,631698.0,1.0,1.5135875555555556,0.02632075,0.0,0.0,1.0,196.0,185.0,187.0,55.19816431269373,50.05345592355841,67.26484174399792
Bee,Anthidium manicatum,118.51031333333333,43.0,31.0,51.0,38.92540580006816,31.198525113456725,41.52924318852693,585908.0,1.0,1.2374125694444444,0.024412833333333335,0.0,0.0,2.0,225.0,177.0,202.0,52.611186397864515,39.97087426694976,59.47885162858333
Bee,Anthidium manicatum,133.74035766666665,57.0,66.0,93.0,59.954408305052326,58.18152926965986,66.04640040411401,591760.0,1.0010187528680723,1.933156361111111,0.024656666666666667,0.0,0.0,0.0,255.0,255.0,255.0,70.81611802081925,72.9335169663377,91.45933148573747
Bee,Anthidium manicatum,120.99586058333334,74.0,85.0,99.0,55.414982527551444,54.38322765277496,59.100871988340145,420248.0,1.001229593991987,1.6832888333333333,0.017510333333333333,0.0,0.0,0.0,255.0,255.0,255.0,88.1391178542194,89.91863375911366,110.33575888522968
Bee,Anthidium manicatum,93.99950766666667,74.0,88.0,104.0,52.805073024807335,54.366568721533696,59.923689298200784,387516.0,1.0006093801739502,1.5427311805555555,0.0161465,4.0,4.0,5.0,255.0,255.0,255.0,84.73291683440168,92.61858091020758,109.28607334922945
Bee,Xylocopa,129.20064841666667,48.0,56.0,52.0,44.47146614824482,41.13404586928671,46.066799064495626,425496.0,1.0012803315907723,1.0577951666666667,0.017729,0.0,1.0,0.0,255.0,253.0,232.0,54.62972154849869,61.18455167616147,63.17977607310057
Bee,Xylocopa,124.2829285,39.0,41.0,40.0,37.39960513525025,34.631277803440845,37.871176935188714,366388.0,1.0,0.7337712638888889,0.015266166666666667,0.0,0.0,0.0,255.0,255.0,255.0,44.75581896787013,48.74256525868751,50.69719805233796
Hover fly,Eristalis,120.79763333333334,44.0,66.0,93.0,42.749782532882406,45.85563568343864,50.06103383540866,164992.0,1.0024834933116933,0.5209575,0.006874666666666667,0.0,4.0,6.0,255.0,255.0,255.0,54.45639182505818,73.5363047905353,99.34523492048099
Hover fly,Eristalis,116.2571655,70.0,123.0,137.0,48.48574799266212,63.483965013847445,60.84687978631261,176940.0,1.0,0.7840513888888889,0.0073725,0.0,0.0,7.0,255.0,255.0,255.0,74.54777325647112,115.84637730304058,128.65015824573302
Hover fly,Eristalis,143.18563208333333,87.0,125.0,142.0,60.60547157581086,61.89142409696188,56.914827630439426,439444.0,1.0,2.1115255,0.018310166666666666,0.0,0.0,5.0,255.0,255.0,255.0,91.79726654590802,118.43931877554364,135.72293625581418
Hover fly,Eristalis,167.32038,69.0,108.0,130.0,45.67928054050534,53.56727055159875,47.536189349915176,407168.0,1.0,1.7721052222222222,0.016965333333333332,1.0,3.0,6.0,255.0,255.0,255.0,76.27223406554542,108.82296005580007,128.26827255580005
Bee,Macropis fulvipes ?,158.47575141666667,65.0,67.0,90.0,53.323136286219686,54.49472530710595,59.65607774506107,114270.0,1.0,0.42186268055555554,0.00476125,2.0,6.0,12.0,255.0,255.0,255.0,78.60267786820688,81.65403868031855,105.55332108164873
Hover fly,Eristalis,137.84051475,60.0,96.0,111.0,49.203196265408515,58.3861562261536,61.554675023230466,321072.0,1.0002654244594322,1.185391361111111,0.013378,0.0,0.0,5.0,255.0,255.0,255.0,64.45392933672198,90.53487068321124,110.83375068520456
Bee,Macropis fulvipes ?,161.00793083333335,52.0,57.0,74.0,53.41915656661679,53.60675619954549,56.433329109928714,170961.0,1.0009124538600358,0.5243976527777777,0.007123375,0.0,0.0,0.0,255.0,255.0,255.0,67.02446756862676,68.95140997069507,84.87350331362124
Wasp,Vespula germanica,137.81746433333333,30.0,55.0,72.0,40.83407674502387,57.55922568065217,60.521509628361116,465284.0,1.0,1.3032431666666666,0.019386833333333332,0.0,1.0,0.0,255.0,255.0,255.0,44.343848058390144,73.16555909938876,84.15991308534143
Wasp,Vespula germanica,122.88214216666667,26.0,59.0,86.0,44.883490787184,48.82967500486741,60.53034435389206,306968.0,1.001861810254182,0.8290077083333334,0.012790333333333334,0.0,3.0,4.0,255.0,255.0,255.0,44.00724179719059,65.12718263792969,85.31110408902556
Wasp,Vespula germanica,111.15159258333334,21.0,46.0,70.0,48.38407487795732,49.175032356181006,57.971361151494975,304968.0,1.0005205627696494,0.7583169722222223,0.012707,0.0,0.0,2.0,255.0,255.0,255.0,43.44553854830671,59.143382256499045,76.4423939560872
Wasp,Vespula germanica,114.50999216666666,25.0,58.0,87.0,49.50401447951344,52.7695791359819,60.11675446258869,375268.0,1.0004772920717844,1.07035125,0.015636166666666666,0.0,2.0,3.0,255.0,255.0,255.0,48.52152594945479,68.73323331592356,88.10591630514726
Dragonfly,Aeshnidae,134.96931383333333,65.0,96.0,116.0,50.73854161326373,53.9549413954767,56.71495982218397,965864.0,1.0000996432752598,3.814982111111111,0.04024433333333333,0.0,0.0,0.0,243.0,255.0,255.0,75.13899782992223,96.30270307206811,112.94482970687385
Butterfly,Papilio machaon,120.89281608333333,40.0,54.0,66.0,53.191027584204676,72.6294381933002,78.55876753426612,4498988.0,1.0002665652124476,14.919846666666666,0.18745783333333332,0.0,0.0,1.0,234.0,242.0,255.0,61.49863658227139,83.5069122211484,93.76569486293361
Bumblebee,Bombus hortorum,145.05111083801017,66.0,69.0,95.0,66.87957165064556,65.67095152522616,69.51829678158384,241006.0,1.001885843347033,1.4087110047768152,0.015821865720477002,0.0,1.0,3.0,255.0,243.0,255.0,82.13378505099458,84.79046579753201,100.18287096586808
Bumblebee,Bombus hortorum x2,144.83671016666668,13.0,13.0,75.0,25.434458125757736,25.332708989900905,52.77881863649446,1268072.0,1.0446597681448255,2.1660755,0.05283633333333333,0.0,0.0,4.0,159.0,174.0,233.0,22.72829697367342,22.564004252124484,77.69553858140547
Bumblebee,Bombus hortorum,154.35173641666665,45.0,61.0,86.0,55.982204886123675,58.681860804342136,66.16599037678125,609516.0,1.0,1.9265537361111111,0.0253965,0.0,1.0,2.0,255.0,255.0,255.0,61.99315850609336,73.792719141089,91.79119826222774
Bumblebee,Bombus hortorum,94.234687,18.0,27.0,44.0,54.78764322691577,59.01675756222488,64.1192073535871,610520.0,1.0,1.3431739166666667,0.025438333333333334,0.0,0.0,0.0,255.0,255.0,255.0,37.9847687217454,52.78134868636572,67.63741073183516
Bumblebee,Bombus hortorum x2,140.71150975,25.0,31.0,88.0,36.036086494371744,34.50137443310003,57.640511447907,1039068.0,1.0,2.4352768333333334,0.0432945,0.0,0.0,5.0,176.0,210.0,249.0,39.15233555455466,39.04691608248931,90.54806037718417
Bumblebee,Bombus hortorum,203.26799533333335,51.0,69.0,91.0,50.652295073109045,51.065574966028265,54.26400797878469,476116.0,1.0006192607862916,1.4354642361111112,0.019838166666666667,0.0,0.0,0.0,193.0,184.0,200.0,65.46795738853557,70.09355283166288,81.51463298859942
Bumblebee,Bombus pascuorum,121.522692,45.0,50.0,74.0,44.60270020501208,42.399479161647896,49.59129829258934,473412.0,1.0000281292940159,1.2976465416666667,0.0197255,0.0,1.0,1.0,255.0,255.0,255.0,57.07836725727274,59.108829096009394,81.16849171546137
Bumblebee,Bombus hortorum,105.75873583333333,41.0,55.0,80.0,50.37184084870091,57.534098045340905,64.29633802435741,946876.0,1.0007820545680168,2.8463040833333335,0.039453166666666664,0.0,0.0,3.0,255.0,255.0,255.0,55.7479965697726,71.18484257706395,89.4987675260541
Bumblebee,Bombus hortorum,119.17514741666666,62.0,66.0,84.0,57.075468764067224,48.60526503888,53.40969724530408,817030.0,1.0006635648182451,2.5085649305555555,0.034042916666666666,0.0,2.0,2.0,255.0,215.0,230.0,71.70087634480986,68.28644480618827,81.0776030255927
Bumblebee,Bombus hortorum,132.29101483333332,30.0,45.0,68.0,40.30506630147505,44.067451532065526,51.24001774591967,931096.0,1.0,2.251228097222222,0.038795666666666666,0.0,0.0,1.0,255.0,218.0,236.0,42.42026171307792,56.114034428243706,75.54917430640879
Bumblebee,Bombus hortorum,114.62394658333334,37.0,68.0,92.0,38.59714770493044,61.69460694175411,61.53062994815706,968244.0,1.0005062625453542,3.0229278055555557,0.0403435,0.0,0.0,3.0,255.0,255.0,255.0,44.77779877799398,83.50684331635414,96.504565997827
Bumblebee,Bombus hortorum,91.390977,21.0,38.0,55.0,31.176203355239597,50.529227988559946,62.06717409063471,693764.0,1.0,1.5256768611111111,0.028906833333333333,0.0,0.0,0.0,255.0,255.0,255.0,31.641768670614216,54.98213657670332,71.71341695446867
Bumblebee,Bombus hortorum,133.79481591666666,53.0,90.0,107.0,50.84682455949167,56.50285266766108,64.73697664055932,876324.0,1.0,3.1379673194444444,0.0365135,0.0,2.0,2.0,255.0,255.0,255.0,64.019556693643,87.9574906084964,105.84271684901931
Bumblebee,Bombus hortorum,109.716592,49.0,66.0,93.0,65.63988890989413,66.11335605475301,71.12899289341604,927504.0,1.0,3.246215888888889,0.038646,0.0,0.0,3.0,255.0,255.0,255.0,70.2089996377374,81.1874935310252,100.59977207645466
Bumblebee,Bombus hortorum,116.32794041666666,14.0,21.0,29.0,45.36482638564163,51.0711290980839,50.059727303769016,634108.0,1.0,1.2657901111111112,0.026421166666666666,0.0,0.0,0.0,196.0,170.0,174.0,40.645426331161254,49.71052722880014,53.36859809370013
Bumblebee,Bombus hortorum,113.95770658333333,21.0,31.0,53.0,32.7212595751354,37.34834650680108,44.53354885781196,872676.0,1.00092963771132,1.6855862083333333,0.0363615,0.0,0.0,0.0,255.0,255.0,255.0,34.32901787146662,44.70160288583621,60.03841173585615
Bumblebee,Bombus hortorum,156.90960566666666,22.0,27.0,35.0,44.33138301068076,46.36411961898269,51.68615609292928,608176.0,1.0005221181989885,1.2575423472222222,0.025340666666666668,0.0,1.0,1.0,255.0,255.0,255.0,43.055350753729186,48.67015962484544,57.150882310383835
