bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area
Bumblebee,Bombus hortorum,123.72438975,26.0,31.0,49.0,49.963818646807994,46.83268150104978,52.01132530648258,739989.0
Bumblebee,Bombus hortorum,132.054565,51.0,68.0,82.0,59.83129348863311,59.88275906270995,59.668211515105384,933606.0
Bumblebee,Bombus hortorum,139.6841985,23.0,28.0,43.0,59.83738933528326,58.85337028204063,64.7327537601604,930752.0
Bumblebee,Bombus hortorum,143.93285425,47.0,79.0,99.0,65.60661649898928,65.87671119161253,70.19371833292767,480672.0
Bumblebee,Bombus hortorum,61.77580275,28.0,30.0,47.0,45.0802650966938,43.03443691853708,48.69757788789245,856305.0
Bumblebee,Bombus hortorum,97.498106,47.0,61.0,87.0,49.790337279541205,55.60669902766341,61.47705001293425,518676.0
Bumblebee,Bombus hortorum,104.5913795,18.0,24.0,41.0,37.48206589846253,41.50961820889678,48.729104944143565,703755.0
Bumblebee,Bombus pascuorum,149.921086,66.0,86.0,92.0,54.12170316462933,44.67399119695382,51.09277092241039,582561.0
Bumblebee,Bombus pascuorum,139.14252533333334,98.0,120.0,140.0,44.70080842468748,39.986865193748685,45.13782409308977,522813.0
Bumblebee,Bombus pascuorum,140.72957808333334,90.0,114.0,122.0,51.161445642097114,52.065381993515985,62.46572509706382,490549.0
Bumblebee,Bombus pascuorum,140.27610216666667,91.0,95.0,115.0,46.535009565456456,38.08876143284749,45.285692087744124,446100.0
Bumblebee,Bombus pascuorum,97.13178891666666,66.0,96.0,123.0,59.44869963126,48.10892268995218,62.121592867520775,204915.0
Bumblebee,Bombus pascuorum,89.24914016666666,52.0,81.0,114.0,58.390947484977424,44.568034372971695,56.082989430776294,209526.0
Bumblebee,Bombus pascuorum,110.99489066666666,50.0,77.0,109.0,51.828886091852674,45.23395197638029,52.96459731722015,190685.0
Bumblebee,Bombus pascuorum,99.70041841666666,55.0,95.0,105.0,42.55297867015702,49.907744452801275,57.263916984638875,649878.0
Bumblebee,Bombus pascuorum,112.57703483333333,84.0,112.0,153.0,60.65703037711421,50.144036979105486,59.177862792836244,517734.0
Bumblebee,Bombus pascuorum,139.94107083333333,33.0,60.0,117.0,29.993715599756495,40.359122872640135,50.117064514690156,691413.0
Bumblebee,Bombus pascuorum,133.48072858333333,83.0,120.0,128.0,54.23664419297986,51.80945675873624,55.82760517829164,365704.0
Bumblebee,Bombus pascuorum,142.92295825,69.0,69.0,90.0,62.425271889914995,46.1858269065669,48.194033222553955,400422.0
Bumblebee,Bombus pascuorum,80.547651,52.0,64.0,96.0,59.05124579682731,54.54797199859719,60.99285567103437,340292.0
Bumblebee,Bombus pascuorum,121.73148016666667,75.0,90.0,120.0,49.089152147843436,49.739734095311356,55.85280406158103,703632.0
Bumblebee,Bombus pascuorum,108.79134583333334,92.0,113.0,142.0,49.82639663956045,51.97469265809577,57.01993331086321,799461.0
Bee & Bumblebee,Bombus hortorum & Megachile centuncularis,173.1565785,,,,,,,0.0
Butterfly,Pieris rapae,147.87139458333334,198.0,182.0,195.0,76.83178541205396,73.43644799634131,69.89839813035009,189519.0
Bumblebee,Bombus pascuorum,88.05580825,45.0,62.0,81.0,38.91162326721919,43.55084321842729,47.47065177792757,370411.0
Bee,Megachile centuncularis,132.2082325,111.0,77.0,122.0,64.22426213866069,45.015250931471044,57.544007292602394,907013.0
Bee,Megachile centuncularis,165.40657816666666,54.0,51.0,76.0,49.250928750931436,35.75178268175277,43.57216240457272,434733.0
Bee,Megachile centuncularis,164.68223383333333,66.0,53.0,81.0,47.750848421754625,33.86661800995819,39.78626514653837,530730.0
Bee,Megachile centuncularis,139.28528691666668,98.0,69.0,110.0,63.65149879609942,48.018417454273596,59.9329717048862,783879.0
Bee,Apis mellifera,175.81857616666667,91.0,63.0,123.0,57.8106189730895,32.47926382437318,46.47936707293548,505839.0
Bee,Apis mellifera,128.15638475,118.0,84.0,145.0,53.076441551312655,37.188716491036914,49.04036432687942,422790.0
Bee,Apis mellifera,120.641575,99.0,83.0,126.0,43.7675138812848,31.52159977618827,41.20320942737572,637155.0
Bee,Megachile centuncularis,142.254707,95.0,91.0,106.0,47.84194112982393,43.821320458599416,47.749852452483076,819729.0
Bee,Anthidium,101.59548991666666,97.0,107.0,119.0,36.02704334672273,42.93109882120168,44.098509096611764,297624.0
Bee,Anthidium,144.14178116666668,92.0,99.0,108.0,48.03639777655093,54.096165909390585,54.0507910493339,325168.0
Bee,Anthidium,137.1974005,89.0,85.0,102.0,42.492504353774116,47.961633187567195,52.84977647707109,381155.0
Bumblebee,Bombus pascuorum,146.29745191666666,76.0,116.0,151.0,56.791613515203025,48.49947265253954,52.59988447096108,460998.0
Bumblebee,Bombus pascuorum,156.38120116666667,71.0,104.0,133.0,49.365852827838815,51.690273944250464,56.912411232711555,594144.0
Hover fly,Eristalis,122.6372315,54.0,83.0,119.0,45.55320887794916,51.90278780544835,49.58754837999827,312779.0
Bumblebee,Bombus hortorum,111.10174433333333,21.0,35.0,59.0,43.27647526951161,42.66623051590616,52.37043357592307,511747.0
Bumblebee,Bombus pascuorum,104.12011541666666,74.0,115.0,148.0,57.95059765193144,46.79927669307449,55.37127803371359,501309.0
Bee,Apis mellifera,118.17403075,82.0,104.0,119.0,49.39329035673529,45.808230111257465,51.28228649027852,309561.0
Bee,Apis mellifera,99.63183533333333,73.0,110.0,124.0,39.13203796858119,42.890925048265515,47.10593034280812,538659.0
Hover fly,Eristalis,104.412548,98.0,99.0,121.0,55.2489295786099,49.64671091695158,54.561150801404224,724155.0
Hover fly,Eristalis,125.689658,84.0,103.0,109.0,50.12022245129273,47.27074506074641,48.630513919866445,663454.0
Bumblebee,Bombus hortorum,134.26648291666666,53.0,62.0,89.0,52.9240038485131,51.99642092177469,57.331137640340444,578166.0
Bumblebee,Bombus pascuorum,145.48947425,68.0,93.0,117.0,50.34259664829479,40.264976891487315,47.45338832348631,643731.0
Bumblebee,Bombus hortorum,127.5503255,82.0,101.0,114.0,68.28180926493299,67.79240768397223,70.22941507206464,404459.0
Wasp,Isodontia mexicana,116.61712066666666,77.0,66.0,76.0,51.00899925582958,43.738067997227205,49.06524767486088,360093.0
Bee,Anthidium,108.68793633333334,87.0,97.0,106.0,46.20760486259837,52.1382840698059,53.88855382552581,300579.0
Bee,Anthidium,116.60146583333334,141.0,145.0,159.0,54.2850059875553,56.11791951446509,58.44350436674478,337971.0
Bumblebee,Bombus pascuorum,89.184991,132.0,145.0,164.0,56.8190673539043,43.478091808614515,44.82998751204414,585962.0
Bee,Apis mellifera,99.14136708333334,123.0,128.0,139.0,47.29543120133827,41.266285610924655,44.3480263047772,569286.0
Bee,Apis mellifera,91.03422891666666,77.0,105.0,96.0,54.04012456724799,36.50469574630234,55.64758822542774,569286.0
Bumblebee,Bombus pascuorum,121.13369541666667,86.0,102.0,115.0,44.89987039047562,48.08528319598543,54.337995965460784,455334.0
Bee,Anthidium,161.12634291666666,72.0,80.0,105.0,52.42593008569146,53.69217130969746,57.964494398068126,254028.0
Butterfly,Pieris rapae,116.49424425,238.0,233.0,235.0,49.94985961511061,43.73345308824092,45.712603267761835,896829.0
Butterfly,Pieris rapae,108.89192508333333,195.0,193.0,195.0,42.982658025312766,37.443487986845135,39.114181010808345,949921.0
Bumblebee,Bombus hortorum,105.300939,68.0,66.0,82.0,57.215326928462936,53.78975422561818,61.01365562411588,572283.0
Bee,Megachile centuncularis,124.71540608333333,48.0,71.0,75.0,35.302097931482976,44.163311253917016,45.5055958480836,282465.0
Butterfly,Polyommatus icarus,82.17206666666667,192.0,212.0,215.0,60.31601477920498,59.43778937147236,59.43228216614112,779652.0
Butterfly,Polyommatus icarus,89.81171166666667,195.0,213.0,216.0,57.530081890394555,57.163366292398365,56.15907398085205,1003611.0
Bee,Anthidium manicatum,158.77260725,97.0,94.0,133.0,59.544587320308096,58.78779841155678,62.00546944352942,536511.0
Bee,Anthidium manicatum,138.93422858333332,55.0,61.0,91.0,50.4712748649537,54.03290208585279,55.26018241158453,593223.0
Bee,Anthidium manicatum,189.76403691666667,77.0,47.0,93.0,49.57126277999028,40.96563613585738,53.04125113838868,638526.0
Bee,Anthidium manicatum,92.2474755,41.0,31.0,57.0,50.80194246101842,42.63557245698494,54.46343496660053,564789.0
Bee,Anthidium manicatum,83.11410908333333,34.0,27.0,53.0,47.043149405916346,38.728491175488486,50.86940109118209,563886.0
Bee,Anthidium manicatum,162.29669258333334,33.0,50.0,65.0,47.41897314178692,47.79555683165013,52.85636190449316,876462.0
Bumblebee,Bombus pascuorum,112.99381525,89.0,59.0,141.0,51.53502893457232,50.70532370575641,83.31519714229269,681041.0
